# Up   Node   Branch Length   Cumulative Branch Length
9      1      0               0.0120347
8      77     5.47e-05        0.01198
7      85     0.00406         0.00792
6      271    0.00128         0.00664
5      273    0.000212        0.006428
4      274    0.000425        0.006003
3      293    0.000132        0.005871
2      294    0.000526        0.005345
1      295    0.00488         0.000465
0      303    0.000465        0
# Up   Node   Branch Length   Cumulative Branch Length
10     1      0               0.0121407
9      77     5.47e-05        0.012086
8      85     0.00406         0.008026
7      271    0.00128         0.006746
6      273    0.000212        0.006534
5      274    0.000425        0.006109
4      293    0.000132        0.005977
3      294    0.000526        0.005451
2      295    0.00488         0.000571
1      303    0.000465        0.000106
0      304    0.000106        0
