# Taxid  Parent   Rank        Genomes
9592     207598   genus       0
9593     9592     species     2
9595     9593     subspecies  12
9596     207598   genus       0
9597     9596     species     7
9598     9596     species     12
9605     207598   genus       0
9606     9605     species     1851
37010    9598     subspecies  0
37011    9598     subspecies  0
37012    9598     subspecies  1
46359    499232   subspecies  0
63221    9606     subspecies  0
183511   9593     subspecies  0
207598   207598   subfamily   0
406788   9593     subspecies  0
499232   9592     species     1
741158   9606     subspecies  0
756884   9598     subspecies  0
1159185  499232   subspecies  2
1294088  9598     subspecies  0
1425170  9605     species     0
2665952  9605     no rank     0
2665953  2665952  species     0
2813598  9605     no rank     0
2813599  2813598  species     0
