# Taxid  Rank        Genomes  Name
9592     genus       0        Gorilla
9593     species     2        Gorilla gorilla
9595     subspecies  12       Gorilla gorilla gorilla
9596     genus       0        Pan
9597     species     7        Pan paniscus
9598     species     12       Pan troglodytes
9605     genus       0        Homo
9606     species     1846     Homo sapiens
37010    subspecies  0        Pan troglodytes schweinfurthii
37011    subspecies  0        Pan troglodytes troglodytes
37012    subspecies  1        Pan troglodytes verus
46359    subspecies  0        Gorilla beringei graueri
63221    subspecies  0        Homo sapiens neanderthalensis
183511   subspecies  0        Gorilla gorilla uellensis
207598   subfamily   0        Homininae
406788   subspecies  0        Gorilla gorilla diehli
499232   species     1        Gorilla beringei
741158   subspecies  0        Homo sapiens subsp. 'Denisova'
756884   subspecies  0        Pan troglodytes ellioti
1159185  subspecies  2        Gorilla beringei beringei
1294088  subspecies  0        Pan troglodytes verus x troglodytes
1425170  species     0        Homo heidelbergensis
2665952  no rank     0        environmental samples
2665953  species     0        Homo sapiens environmental sample
2813598  no rank     0        unclassified Homo
2813599  species     0        Homo sp.
