#Clade                                                Targets  Neighbors  Split (%)  Parent  Dist(Parent)
300                                                   141      9          97.6       292     0.00046
302                                                   139      9          97.1       300     0.000106
304                                                   137      9          96.7       302     0.000115
291                                                   142      17         96.0       290     0.000471
290                                                   142      18         95.8       271     0.000155
292                                                   141      17         95.8       291     0.00501
311                                                   130      9          95.1       304     3.91e-05
312                                                   129      9          94.9       311     2.13e-05
271                                                   142      37         91.5       270     0.000313
270                                                   142      38         91.3       268     0.000302
268                                                   142      40         90.9       85      0.00122
335                                                   106      9          89.8       312     1.81e-05
369                                                   73       8          82.6       335     9.11e-06
397                                                   48       5          77.7       369     9.59e-06
403                                                   43       4          76.8       397     2.11e-05
404                                                   42       4          76.6       403     1.17e-05
405                                                   41       4          76.4       404     3.3e-06
336                                                   33       1          75.3       335     1.03e-05
337                                                   31       0          75.1       336     7.25e-05
313                                                   23       0          73.3       312     7.31e-05
423                                                   25       2          73.3       405     7.2e-06
370                                                   25       3          73.1       369     5.38e-06
371                                                   24       3          72.8       370     1.33e-05
348                                                   20       0          72.6       337     9.89e-06
426                                                   22       2          72.6       423     1.2e-06
372                                                   18       1          71.9       371     5.43e-05
431                                                   18       1          71.9       426     2.24e-06
352                                                   16       0          71.7       348     4.57e-06
353                                                   15       0          71.5       352     2e-05
354                                                   14       0          71.3       353     4.78e-06
375                                                   15       1          71.3       372     2.52e-06
406                                                   16       2          71.3       405     2.49e-05
323                                                   13       0          71.0       313     2.43e-05
356                                                   12       0          70.8       354     3.55e-06
436                                                   13       1          70.8       431     2.78e-06
325                                                   11       0          70.6       323     4.1e-06
338                                                   11       0          70.6       337     1.27e-05
438                                                   11       0          70.6       437     3.26e-06
314                                                   10       0          70.4       313     2.2e-05
326                                                   10       0          70.4       325     1.51e-06
381                                                   10       0          70.4       375     1.25e-05
410                                                   12       2          70.4       406     3.67e-05
437                                                   11       1          70.4       436     5.4e-06
439                                                   10       0          70.4       438     2e-06
340                                                   9        0          70.2       338     7.82e-06
360                                                   8        0          69.9       356     7.91e-07
411                                                   10       2          69.9       410     3.34e-05
305                                                   7        0          69.7       304     0.000151
361                                                   7        0          69.7       360     1.59e-06
382                                                   7        0          69.7       381     2.82e-05
306                                                   6        0          69.5       305     6.66e-06
315                                                   6        0          69.5       314     3.41e-05
330                                                   6        0          69.5       326     1.88e-05
383                                                   6        0          69.5       382     1.76e-05
307                                                   5        0          69.3       306     4.89e-06
331                                                   5        0          69.3       330     1.32e-05
341                                                   5        0          69.3       340     8.42e-06
384                                                   5        0          69.3       383     1.05e-06
413                                                   5        0          69.3       412     5.33e-06
432                                                   5        0          69.3       431     6.38e-06
440                                                   5        0          69.3       439     2.12e-06
444                                                   5        0          69.3       439     1.26e-06
