#Clade                                                Targets  Neighbors  Unknowns  Split (%)  Parent  Dist(Parent)
291                                                   142      0          17        99.29      290     0.000471
290                                                   142      0          18        99.29      271     0.000155
271                                                   142      0          37        99.24      270     0.000313
270                                                   142      0          38        99.24      268     0.000302
268                                                   142      0          40        99.23      85      0.00122
85                                                    143      0          222       99.14      77      0.00412
77                                                    143      0          230       99.07      1       4.7e-05
300                                                   141      0          9         98.64      292     0.00046
292                                                   141      0          17        98.62      291     0.00501
302                                                   139      0          9         97.29      300     0.000106
1                                                     143      0          306       96.15      -       0
304                                                   137      0          9         95.95      302     0.000115
311                                                   130      0          9         91.24      304     3.91e-05
312                                                   129      0          9         90.57      311     2.13e-05
335                                                   106      0          9         75.10      312     1.81e-05
369                                                   73       0          8         52.92      335     9.11e-06
397                                                   48       0          5         36.11      369     9.59e-06
403                                                   43       0          4         32.75      397     2.11e-05
404                                                   42       0          4         32.08      403     1.17e-05
405                                                   41       0          4         31.41      404     3.3e-06
336                                                   33       0          1         26.04      335     1.03e-05
337                                                   31       0          0         24.69      336     7.25e-05
423                                                   25       0          2         20.66      405     7.2e-06
370                                                   25       0          3         20.65      369     5.38e-06
371                                                   24       0          3         19.98      370     1.33e-05
313                                                   23       0          0         19.32      312     7.31e-05
426                                                   22       0          2         18.64      423     1.2e-06
348                                                   20       0          0         17.30      337     9.89e-06
372                                                   18       0          1         15.95      371     5.43e-05
431                                                   18       0          1         15.95      426     2.24e-06
352                                                   16       0          0         14.61      348     4.57e-06
406                                                   16       0          2         14.60      405     2.49e-05
353                                                   15       0          0         13.94      352     2e-05
375                                                   15       0          1         13.93      372     2.52e-06
354                                                   14       0          0         13.26      353     4.78e-06
323                                                   13       0          0         12.59      313     2.43e-05
436                                                   13       0          1         12.59      431     2.78e-06
356                                                   12       0          0         11.92      354     3.55e-06
410                                                   12       0          2         11.91      406     3.67e-05
325                                                   11       0          0         11.25      323     4.1e-06
338                                                   11       0          0         11.25      337     1.27e-05
438                                                   11       0          0         11.25      437     3.26e-06
437                                                   11       0          1         11.24      436     5.4e-06
314                                                   10       0          0         10.57      313     2.2e-05
326                                                   10       0          0         10.57      325     1.51e-06
381                                                   10       0          0         10.57      375     1.25e-05
439                                                   10       0          0         10.57      438     2e-06
411                                                   10       0          2         10.57      410     3.34e-05
340                                                   9        0          0         9.90       338     7.82e-06
360                                                   8        0          0         9.23       356     7.91e-07
305                                                   7        0          0         8.56       304     0.000151
361                                                   7        0          0         8.56       360     1.59e-06
382                                                   7        0          0         8.56       381     2.82e-05
306                                                   6        0          0         7.88       305     6.66e-06
315                                                   6        0          0         7.88       314     3.41e-05
330                                                   6        0          0         7.88       326     1.88e-05
383                                                   6        0          0         7.88       382     1.76e-05
390                                                   6        0          2         7.88       371     2.24e-05
307                                                   5        0          0         7.21       306     4.89e-06
331                                                   5        0          0         7.21       330     1.32e-05
341                                                   5        0          0         7.21       340     8.42e-06
384                                                   5        0          0         7.21       383     1.05e-06
413                                                   5        0          0         7.21       412     5.33e-06
432                                                   5        0          0         7.21       431     6.38e-06
440                                                   5        0          0         7.21       439     2.12e-06
444                                                   5        0          0         7.21       439     1.26e-06
376                                                   5        0          1         7.21       375     3.97e-05
398                                                   5        0          1         7.21       397     3.01e-05
412                                                   5        0          1         7.21       411     7.6e-06
417                                                   5        0          1         7.21       411     7.43e-06
316                                                   4        0          0         6.54       315     5.1e-05
320                                                   4        0          0         6.54       314     1.26e-05
327                                                   4        0          0         6.54       326     2.58e-05
342                                                   4        0          0         6.54       341     7.57e-06
345                                                   4        0          0         6.54       340     8.45e-06
349                                                   4        0          0         6.54       348     2.02e-05
357                                                   4        0          0         6.54       356     1.11e-05
362                                                   4        0          0         6.54       361     2.02e-06
378                                                   4        0          0         6.54       377     5.07e-05
385                                                   4        0          0         6.54       384     5.78e-06
399                                                   4        0          0         6.54       398     2.75e-05
407                                                   4        0          0         6.54       406     3.83e-05
433                                                   4        0          0         6.54       432     5.15e-06
441                                                   4        0          0         6.54       440     1.05e-05
445                                                   4        0          0         6.54       444     2.85e-05
377                                                   4        0          1         6.54       376     7.18e-05
418                                                   4        0          1         6.54       417     7.96e-06
427                                                   4        0          1         6.54       426     2.71e-05
308                                                   3        0          0         5.87       307     6.32e-06
317                                                   3        0          0         5.87       316     5.12e-05
321                                                   3        0          0         5.87       320     3.66e-05
328                                                   3        0          0         5.87       327     4.31e-06
332                                                   3        0          0         5.87       331     1.23e-05
350                                                   3        0          0         5.87       349     9.09e-06
358                                                   3        0          0         5.87       357     5.78e-07
363                                                   3        0          0         5.87       362     2.08e-06
365                                                   3        0          0         5.87       361     1.57e-06
373                                                   3        0          0         5.87       372     2.02e-05
379                                                   3        0          0         5.87       378     1.03e-05
386                                                   3        0          0         5.87       385     9.34e-06
388                                                   3        0          0         5.87       381     4.93e-06
395                                                   3        0          0         5.87       390     2.49e-05
400                                                   3        0          0         5.87       399     1.54e-05
415                                                   3        0          0         5.87       413     1.68e-06
420                                                   3        0          0         5.87       419     8.28e-06
424                                                   3        0          0         5.87       423     2.34e-06
434                                                   3        0          0         5.87       433     2.95e-06
442                                                   3        0          0         5.87       441     1.63e-06
446                                                   3        0          0         5.87       445     2.57e-05
419                                                   3        0          1         5.87       418     1.79e-05
428                                                   3        0          1         5.87       427     1.25e-05
391                                                   3        0          2         5.86       390     3.04e-05
301                                                   2        0          0         5.20       300     0.000103
303                                                   2        0          0         5.20       302     0.000253
309                                                   2        0          0         5.20       308     2.04e-06
310                                                   2        0          0         5.20       307     4.42e-06
318                                                   2        0          0         5.20       317     5.44e-06
319                                                   2        0          0         5.20       315     6.22e-06
322                                                   2        0          0         5.20       321     1.21e-05
324                                                   2        0          0         5.20       323     4.35e-05
329                                                   2        0          0         5.20       328     7.57e-05
333                                                   2        0          0         5.20       332     1.63e-05
334                                                   2        0          0         5.20       331     3.59e-06
339                                                   2        0          0         5.20       338     1.5e-05
343                                                   2        0          0         5.20       342     1.9e-05
344                                                   2        0          0         5.20       342     1.42e-05
346                                                   2        0          0         5.20       345     1.3e-05
347                                                   2        0          0         5.20       345     2.43e-06
351                                                   2        0          0         5.20       350     2.41e-06
355                                                   2        0          0         5.20       354     1.89e-05
359                                                   2        0          0         5.20       358     1.62e-06
364                                                   2        0          0         5.20       363     8.08e-07
366                                                   2        0          0         5.20       365     4.42e-06
374                                                   2        0          0         5.20       373     3.28e-05
380                                                   2        0          0         5.20       379     1.82e-05
387                                                   2        0          0         5.20       386     7.81e-07
389                                                   2        0          0         5.20       388     1.26e-05
394                                                   2        0          0         5.20       392     1.38e-05
396                                                   2        0          0         5.20       395     5.35e-05
401                                                   2        0          0         5.20       400     6.41e-05
408                                                   2        0          0         5.20       407     3.05e-05
409                                                   2        0          0         5.20       407     4.4e-06
414                                                   2        0          0         5.20       413     3.3e-05
416                                                   2        0          0         5.20       415     6.24e-06
421                                                   2        0          0         5.20       420     9.61e-06
422                                                   2        0          0         5.20       410     4.03e-06
425                                                   2        0          0         5.20       424     3e-05
430                                                   2        0          0         5.20       429     4.67e-06
435                                                   2        0          0         5.20       434     1.21e-05
443                                                   2        0          0         5.20       442     7.21e-07
447                                                   2        0          0         5.20       446     9.63e-07
448                                                   2        0          0         5.20       436     2.99e-06
367                                                   2        0          1         5.19       336     1.57e-05
429                                                   2        0          1         5.19       428     1.17e-05
392                                                   2        0          2         5.19       391     2.97e-05
tGCA_000008865.2_ASM886v2_genomic.fna                 1        0          0         4.52       421     8.87e-06
tGCA_000021125.1_ASM2112v1_genomic.fna                1        0          0         4.52       380     1.64e-05
tGCA_000022225.1_ASM2222v1_genomic.fna                1        0          0         4.52       380     1.22e-05
tGCA_000730345.1_ASM73034v1_genomic.fna               1        0          0         4.52       379     4.09e-05
tGCA_000732965.1_ASM73296v1_genomic.fna               1        0          0         4.52       414     4.71e-06
tGCA_000803705.1_ASM80370v1_genomic.fna               1        0          0         4.52       378     3.24e-05
tGCA_000978815.2_ASM97881v2_genomic.fna               1        0          0         4.52       311     0.000269
