# Sample  Accession        Taxid
t         GCA_000258655.2  9597
t         GCA_013052645.3  9597
t         GCA_015021855.1  9597
t         GCA_028858825.2  9597
t         GCA_028858845.2  9597
t         GCA_030221875.1  9597
t         GCA_030221885.1  9597
t         GCA_000001515.5  9598
t         GCA_000090855.1  9598
t         GCA_000325845.1  9598
t         GCA_002880755.3  9598
t         GCA_028858805.2  9598
t         GCA_030128845.1  9598
t         GCA_030128855.1  9598
t         GCA_900156565.1  9598
t         GCA_965153035.1  9598
t         GCA_965153115.1  9598
t         GCA_965153145.1  9598
t         GCA_965153165.1  9598
t         GCA_000002175.2  37012
