# MRCA(targets): 1375, Aerococcus
# MRCA(targets+neighbors): 186827, Aerococcaceae
# Type  Taxon-ID  Name                                              Genomes
tt      1375      Aerococcus                                        -
tt      1376      Aerococcus urinae                                 chromosome:NZ_CP014161.1/CP014161.1|chromosome:NZ_CP065662.1/CP065662.1
tt      1377      Aerococcus viridans                               chromosome:NZ_CP014164.1/CP014164.1
tt      51665     Aerococcus urinaeequi                             chromosome:NZ_CP013988.1/CP013988.1|chromosome:NZ_CP014162.1/CP014162.1|chromosome:NZ_CP063065.1/CP063065.1; plasmid pT4302:NZ_CP063066.1/CP063066.1; plasmid pT4303:NZ_CP063067.1/CP063067.1
tt      79233     Aerococcus sp. LV65.5:W1                          -
tt      87541     Aerococcus christensenii                          chromosome:NZ_CP014159.1/CP014159.1
t       119206    Aerococcus sanguinicola                           chromosome:NZ_CP014160.1/CP014160.1
t       128944    Aerococcus urinaehominis                          chromosome:NZ_CP014163.1/CP014163.1
tt      189666    environmental samples                             -
tt      189667    uncultured Aerococcus sp.                         -
tt      260382    Aerococcus sp. GIC15                              -
tt      339624    Aerococcus sp. HPC 555                            -
tt      339630    Aerococcus sp. HPC 569                            -
tt      339642    Aerococcus sp. HPC 594                            -
tt      339644    Aerococcus sp. HPC 597                            -
tt      345659    Aerococcus sp. UMB 29                             -
tt      371602    Aerococcus suis                                   -
tt      392431    Aerococcus sp. YTHM-17                            -
tt      394344    Aerococcus sp. zf-93-I                            -
tt      403770    Aerococcus sp. LB-P1-29                           -
tt      407804    Aerococcus sp. Na3-1                              -
tt      423346    Aerococcus sp. 28565-2                            -
tt      423347    Aerococcus sp. 5076NH                             -
tt      431401    Aerococcus sp. RODAN2                             -
tt      497972    Aerococcus sp. P3-2                               -
tt      505847    Aerococcus sp. SMCC G885                          -
tt      525247    Aerococcus christensenii DSM 15819 = CCUG 28831   -
tt      562815    Aerococcus sp. qy17                               -
tt      570180    Aerococcus sp. 4101                               -
tt      570181    Aerococcus sp. 4102                               -
tt      570182    Aerococcus sp. 4103                               -
tt      576079    Aerococcus sp. ZXM063                             -
tt      582856    Aerococcus sp. KSL 4-362                          -
tt      655812    Aerococcus viridans ATCC 11563 = CCUG 4311        -
tt      682994    Aerococcus sp. M2T9B3                             -
tt      682995    Aerococcus sp. M3T9B11                            -
tt      702111    Aerococcus sp. GDLAMI-N1                          -
tt      741108    Aerococcus sp. 1C                                 -
tt      749741    Aerococcus sp. 3417/04                            -
tt      760178    Aerococcus sp. STR_45NG28                         -
tt      760179    Aerococcus sp. STR_49NG24                         -
tt      858647    Aerococcus sp. EX336960VC24                       -
t       866775    Aerococcus urinae ACS-120-V-Col10a                chromosome:NC_015278.1/CP002512.1
tt      867197    Aerococcus sp. SBL                                -
tt      885474    Aerococcus sp. R-38529                            -
tt      889568    Aerococcus sp. 27F07n-MB1-8b                      -
tt      930151    Aerococcus sp. B43(2010)                          -
tt      943948    Aerococcus sp. PSBCRG1-1                          -
tt      946166    Aerococcus sp. F3(2011)                           -
tt      1005147   Aerococcus sp. PK35_S1                            -
tt      1045502   Aerococcus sp. I10B-00258                         -
tt      1076286   Aerococcus sp. BPD-1                              -
tt      1076287   Aerococcus sp. BPD-3                              -
tt      1076288   Aerococcus sp. BPD-6                              -
tt      1113936   Aerococcus sp. NBRC 105209                        -
tt      1116503   Aerococcus sp. X16-CRBM-E14                       -
tt      1116512   Aerococcus sp. X28-CRBM-E14                       -
tt      1116513   Aerococcus sp. X30-CRBM-E14                       -
tt      1116523   Aerococcus sp. X42-CRBM-E14                       -
tt      1116534   Aerococcus sp. X53-CRBM-E14                       -
tt      1116539   Aerococcus sp. X8-CRBM-E14                        -
tt      1116540   Aerococcus sp. X9-CRBM-E14                        -
tt      1116550   Aerococcus sp. I13-CRBM-T3P21                     -
tt      1116551   Aerococcus sp. I22-CRBM-T3P21                     -
tt      1116552   Aerococcus sp. I24-CRBM-T3P21                     -
tt      1116553   Aerococcus sp. I26-CRBM-T3P21                     -
tt      1116555   Aerococcus sp. I30-CRBM-T3P21                     -
tt      1116556   Aerococcus sp. I45-CRBM-T3P21                     -
tt      1116557   Aerococcus sp. I52-CRBM-T3P21                     -
tt      1116558   Aerococcus sp. I61-CRBM-T3P21                     -
tt      1116559   Aerococcus sp. I79-CRBM-T3P21                     -
tt      1116561   Aerococcus sp. I85-CRBM-T3P21                     -
tt      1116673   Aerococcus sp. alfa36-PCA-E3-2                    -
tt      1116698   Aerococcus sp. C137-PCA-T3P21                     -
tt      1116699   Aerococcus sp. C138-PCA-T3P21                     -
tt      1116700   Aerococcus sp. C150-PCA-T3P21                     -
tt      1116702   Aerococcus sp. C17-PCA-T3P21                      -
