# Sample  Accession
t         GCA_001543175.1
t         GCA_016026975.1
t         GCA_002087935.1
t         GCA_003286735.1
t         GCA_905112985.1
t         GCA_905125285.1
t         GCA_003286875.1
t         GCA_003286525.1
t         GCA_002884575.1
t         GCA_003286805.1
t         GCA_905115105.1
t         GCA_003286595.1
t         GCA_905115165.1
t         GCA_003286585.1
t         GCA_905115195.1
t         GCA_003286895.1
t         GCA_905125205.1
t         GCA_905112955.1
t         GCA_905111125.1
t         GCA_003286695.1
t         GCA_905112975.1
t         GCA_905125235.1
t         GCA_905115125.1
t         GCA_905125305.1
t         GCA_905115155.1
t         GCA_905125245.1
t         GCA_905115095.1
t         GCA_905125255.1
t         GCA_905111885.1
t         GCA_905125265.1
t         GCA_905125275.1
t         GCA_905125325.1
t         GCA_905113075.1
t         GCA_003286755.1
t         GCA_905115145.1
t         GCA_003286515.1
t         GCA_003286825.1
t         GCA_905111135.1
t         GCA_905113065.1
t         GCA_905125315.1
t         GCA_905111875.1
t         GCA_905112965.1
t         GCA_905112995.1
t         GCA_905115075.1
t         GCA_002884955.1
t         GCA_002847665.1
t         GCA_905125335.1
t         GCA_008726315.1
t         GCA_905115225.1
t         GCA_905125225.1
t         GCA_003286845.1
t         GCA_905125295.1
t         GCA_905125195.1
t         GCA_003286645.1
t         GCA_905115205.1
t         GCA_905115135.1
t         GCA_003286665.1
t         GCA_008726845.1
t         GCA_008726285.1
t         GCA_003286635.1
t         GCA_008726675.1
t         GCA_003286555.1
t         GCA_008726885.1
t         GCA_905115115.1
t         GCA_001649715.1
t         GCA_905113055.1
t         GCA_002871915.1
t         GCA_002847625.1
t         GCA_002847705.1
t         GCA_008726385.1
t         GCA_905115085.1
t         GCA_018919305.1
t         GCA_008726475.1
t         GCA_905113045.1
t         GCA_003286795.1
t         GCA_003286565.1
t         GCA_003286725.1
t         GCA_003286715.1
t         GCA_001543285.1
t         GCA_900445095.1
t         GCA_002083135.2
t         GCA_002871935.1
t         GCA_900445105.1
t         GCA_002280005.1
t         GCA_001518795.1
t         GCA_001543205.1
t         GCA_014931015.1
t         GCA_014050425.1
t         GCA_014050435.1
t         GCA_014050445.1
t         GCA_001719605.1
t         GCA_003542755.1
t         GCA_022781615.1
t         GCA_020743935.1
t         GCA_001543105.1
t         GCA_002861505.1
t         GCA_001552755.1
t         GCA_905113025.1
t         GCA_001543145.1
t         GCA_905113005.1
t         GCA_905113035.1
t         GCA_905109855.1
t         GCA_905113015.1
t         GCA_905125215.1
t         GCA_905109795.1
t         GCA_905115175.1
t         GCA_008726925.1
t         GCA_002847725.1
t         GCA_008802315.1
t         GCA_001543245.1
t         GCA_900103385.1
t         GCA_900176325.1
t         GCA_022780685.1
t         GCA_001466745.1
t         GCA_000178435.1
t         GCA_000193205.1
t         GCA_000425085.1
t         GCA_000262085.1
t         GCA_001544335.1
t         GCA_001806805.1
t         GCA_001806975.1
t         GCA_001807425.1
t         GCA_001809535.1
t         GCA_001809895.1
t         GCA_001836025.1
t         GCA_001811135.1
t         GCA_001811965.1
t         GCA_001813115.1
t         GCA_022768285.1
t         GCA_017474445.1
t         GCA_002440555.1
t         GCA_002252085.1
t         GCA_003797145.1
n         GCA_900110675.1
n         GCA_023195815.1
n         GCA_000518205.1
n         GCA_002847645.1
n         GCA_000301055.1
n         GCA_012518335.1
n         GCA_020742355.1
n         GCA_900167405.1
n         GCA_002847845.1
n         GCA_001552295.1
n         GCA_001811625.1
n         GCA_009659415.1
n         GCA_009659375.1
n         GCA_009659495.1
n         GCA_018348555.1
n         GCA_003521095.1
n         GCA_015546655.1
n         GCA_016126655.1
n         GCA_014779695.1
n         GCA_015863195.1
n         GCA_018145715.1
n         GCA_015863185.1
n         GCA_018348635.1
n         GCA_016237705.1
n         GCA_015863215.1
n         GCA_015476615.1
n         GCA_018348615.1
n         GCA_016522115.1
n         GCA_020112395.1
n         GCA_005864045.1
n         GCA_015863285.1
n         GCA_020743545.1
n         GCA_014049385.1
n         GCA_000183205.2
n         GCA_000428865.1
n         GCA_900604935.1
n         GCA_004141915.1
n         GCA_002861185.1
n         GCA_000301035.1
n         GCA_000413455.1
n         GCA_015863265.1
n         GCA_015863205.1
n         GCA_900100775.1
n         GCA_012396555.1
n         GCA_000245795.1
n         GCA_001810675.1
n         GCA_010892315.1
n         GCA_010892325.1
n         GCA_002871685.1
n         GCA_900100125.1
n         GCA_002871385.1
n         GCA_003546865.1
n         GCA_015259565.1
n         GCA_015259595.1
n         GCA_001815865.1
n         GCA_905372995.1
n         GCA_905370395.1
n         GCA_013267415.1
n         GCA_916438635.1
n         GCA_905373775.1
n         GCA_015259635.1
n         GCA_000160075.2
n         GCA_916438485.1
n         GCA_916720375.1
n         GCA_915062795.1
n         GCA_916048345.1
