#Node                Parent  Len       Type
3090                 3089    8.96e-05  par
3091                 3090    0.00509   des
562_GCA_013833345.1  3091    0.000248  des
3092                 3091    0.000133  des
562_GCA_013889615.1  3092    0.00013   des
3093                 3092    0.000133  des
562_GCA_013899545.1  3093    1.59e-06  des
562_GCA_013899625.1  3093    4.47e-07  des
3094                 3090    0.00508   des
562_GCA_013886735.1  3094    2.54e-05  des
562_GCF_053102575.1  3094    1.25e-05  des
